MALATYA GÜNCEL İLÇE VE MAHALLELERİ
=================================

[Akçadağ]
İlisuluk Mahallesi, Kuluncak, Malatya
İsmetpaşa Mahallesi, Kuluncak, Malatya
İstiklal Mahallesi, Kuluncak, Malatya
Karabük Mah Mahallesi, Kuluncak, Malatya
Karaçayır Mahallesi, Kuluncak, Malatya
Karıncalık Mahallesi, Kuluncak, Malatya
Karlık Mahallesi, Kuluncak, Malatya
Kaynarca Mahallesi, Kuluncak, Malatya
Kızılhisar Mahallesi, Kuluncak, Malatya
Kızılmağara Mahallesi, Kuluncak, Malatya
Konaktepe Mahallesi, Kuluncak, Malatya
Kömüklü Mahallesi, Kuluncak, Malatya
Ortapınar Mahallesi, Kuluncak, Malatya
Sofular Mahallesi, Kuluncak, Malatya
Sultanlı Mahallesi, Kuluncak, Malatya
Temüklü Mahallesi, Kuluncak, Malatya
Yeni Mahallesi, Kuluncak, Malatya

[Pütürge]
Ağalar Mahallesi, Pütürge, Malatya
Aktarla Mahallesi, Pütürge, Malatya
Aliçeri Mahallesi, Pütürge, Malatya
Alihan Mahallesi, Pütürge, Malatya
Arınlı Mahallesi, Pütürge, Malatya
Arıtoprak Mahallesi, Pütürge, Malatya
Arslankent Mahallesi, Pütürge, Malatya
Bakımlı Mahallesi, Pütürge, Malatya
Balpınarı Mahallesi, Pütürge, Malatya
Başmezra Mahallesi, Pütürge, Malatya
Bayırköy Mahallesi, Pütürge, Malatya
Belenköy Mahallesi, Pütürge, Malatya
Bölükkaya Mahallesi, Pütürge, Malatya
Bölünmez Mahallesi, Pütürge, Malatya
Büyüköz Mahallesi, Pütürge, Malatya
Çamlıdere Mahallesi, Pütürge, Malatya
Çayköy Mahallesi, Pütürge, Malatya
Çengelli Mahallesi, Pütürge, Malatya
Çığırlı Mahallesi, Pütürge, Malatya
Çukuroymağı Mahallesi, Pütürge, Malatya
Deredüzü Mahallesi, Pütürge, Malatya
Erdemler Mahallesi, Pütürge, Malatya
Ersele Mahallesi, Pütürge, Malatya
Esencik Mahallesi, Pütürge, Malatya
Esenlik Mahallesi, Pütürge, Malatya
Gertan Mahallesi, Pütürge, Malatya
